purpose,mode,period,area,traveller_type,trip_rate,tt_desc
HBE,Car,AM,3,78,0.002,"female not employed / students (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,3,79,0.008,"female not employed / students (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,3,80,0.011,"female not employed / students (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,3,81,0.000,"female 75+, in 1 adult households with no car"
HBE,Car,AM,3,82,0.003,"female 75+, in 1 adult households with one or more cars"
HBE,Car,AM,3,83,0.000,"female 75+, in 2 adult households with no car"
HBE,Car,AM,3,84,0.003,"female 75+, in 2 adult households with one car"
HBE,Car,AM,3,85,0.007,"female 75+, in 2 adult households with two plus cars"
HBE,Car,AM,3,86,0.000,"female 75+, in 3+ adult households with no car"
HBE,Car,AM,3,87,0.006,"female 75+, in 3+ adult households with one car"
HBE,Car,AM,3,88,0.008,"female 75+, in 3+ adult households with two plus cars"
HBE,Car,AM,4,1,0.001,"Children (0 to 15), in 1 adult household with no car"
HBE,Car,AM,4,2,0.003,"Children (0 to 15),in 1 adult household with one or more cars"
HBE,Car,AM,4,3,0.001,"Children (0 to 15), in 2 adult household with no car"
HBE,Car,AM,4,4,0.003,"Children (0 to 15), in 2 adult household with one car"
HBE,Car,AM,4,5,0.003,"Children (0 to 15), in 2 adult household with two or more cars"
HBE,Car,AM,4,6,0.001,"Children (0 to 15), in 3+ adult household with no car"
HBE,Car,AM,4,7,0.002,"Children (0 to 15), in 3+ adult household with one car"
HBE,Car,AM,4,8,0.003,"Children (0 to 15), in 3+ adult household with two or more cars"
HBE,Car,AM,4,9,0.032,"males in full time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,4,10,0.198,"males in full time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,4,11,0.029,"males in full time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,4,12,0.138,"males in full time employment (16 to 74), in 2 adult households with one car"
HBE,Car,AM,4,13,0.238,"males in full time employment (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,4,14,0.037,"males in full time employment (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,4,15,0.096,"males in full time employment (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,4,16,0.211,"males in full time employment (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,4,17,0.048,"males in part time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,4,18,0.193,"males in part time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,4,19,0.033,"males in part time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,4,20,0.144,"males in part time employment (16 to 74), in 2 adult households with one car"
HBE,Car,AM,4,21,0.207,"males in part time employment (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,4,22,0.037,"males in part time employment (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,4,23,0.104,"males in part time employment (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,4,24,0.176,"males in part time employment (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,4,25,0.005,"male students (16 to 74), in 1 adult households with no car"
HBE,Car,AM,4,26,0.021,"male students (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,4,27,0.006,"male students (16 to 74), in 2 adult households with no car"
HBE,Car,AM,4,28,0.017,"male students (16 to 74), in 2 adult households with one car"
HBE,Car,AM,4,29,0.021,"male students (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,4,30,0.005,"male students (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,4,31,0.012,"male students (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,4,32,0.018,"male students (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,4,33,0.004,"male not employed / students (16 to 74), in 1 adult households with no car"
HBE,Car,AM,4,34,0.015,"male not employed / students (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,4,35,0.004,"male not employed / students (16 to 74), in 2 adult households with no car"
HBE,Car,AM,4,36,0.012,"male not employed / students (16 to 74), in 2 adult households with one car"
HBE,Car,AM,4,37,0.018,"male not employed / students (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,4,38,0.005,"male not employed / students (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,4,39,0.014,"male not employed / students (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,4,40,0.022,"male not employed / students (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,4,41,0.000,"male 75+, in 1 adult households with no car"
HBE,Car,AM,4,42,0.006,"male 75+, in 1 adult households with one car"
HBE,Car,AM,4,43,0.000,"male 75+, in 2 adult households with no car"
HBE,Car,AM,4,44,0.004,"male 75+, in 2 adult households with one car"
HBE,Car,AM,4,45,0.012,"male 75+, in 2 adult households with two plus cars"
HBE,Car,AM,4,46,0.000,"male 75+, in 3+ adult households with no car"
HBE,Car,AM,4,47,0.009,"male 75+, in 3+ adult households with one car"
HBE,Car,AM,4,48,0.016,"male 75+, in 3+ adult households with two plus cars"
HBE,Car,AM,4,49,0.024,"females in full time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,4,50,0.150,"females in full time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,4,51,0.022,"females in full time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,4,52,0.093,"females in full time employment (16 to 74), in 2 adult households with one car"
HBE,Car,AM,4,53,0.175,"females in full time employment (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,4,54,0.028,"females in full time employment (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,4,55,0.072,"females in full time employment (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,4,56,0.142,"females in full time employment (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,4,57,0.030,"females in part time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,4,58,0.137,"females in part time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,4,59,0.022,"females in part time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,4,60,0.105,"females in part time employment (16 to 74), in 2 adult households with one car"
HBE,Car,AM,4,61,0.147,"females in part time employment (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,4,62,0.027,"females in part time employment (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,4,63,0.086,"females in part time employment (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,4,64,0.147,"females in part time employment (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,4,65,0.006,"female students (16 to 74), in 1 adult households with no car"
HBE,Car,AM,4,66,0.029,"female students (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,4,67,0.006,"female students (16 to 74), in 2 adult households with no car"
HBE,Car,AM,4,68,0.020,"female students (16 to 74), in 2 adult households with one car"
HBE,Car,AM,4,69,0.029,"female students (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,4,70,0.005,"female students (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,4,71,0.013,"female students (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,4,72,0.021,"female students (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,4,73,0.001,"female not employed / students (16 to 74), in 1 adult households with no car"
HBE,Car,AM,4,74,0.008,"female not employed / students (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,4,75,0.002,"female not employed / students (16 to 74), in 2 adult households with no car"
HBE,Car,AM,4,76,0.007,"female not employed / students (16 to 74), in 2 adult households with one car"
HBE,Car,AM,4,77,0.010,"female not employed / students (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,4,78,0.003,"female not employed / students (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,4,79,0.007,"female not employed / students (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,4,80,0.011,"female not employed / students (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,4,81,0.000,"female 75+, in 1 adult households with no car"
HBE,Car,AM,4,82,0.004,"female 75+, in 1 adult households with one or more cars"
HBE,Car,AM,4,83,0.000,"female 75+, in 2 adult households with no car"
HBE,Car,AM,4,84,0.002,"female 75+, in 2 adult households with one car"
HBE,Car,AM,4,85,0.006,"female 75+, in 2 adult households with two plus cars"
HBE,Car,AM,4,86,0.000,"female 75+, in 3+ adult households with no car"
HBE,Car,AM,4,87,0.004,"female 75+, in 3+ adult households with one car"
HBE,Car,AM,4,88,0.008,"female 75+, in 3+ adult households with two plus cars"
HBE,Car,AM,5,1,0.002,"Children (0 to 15), in 1 adult household with no car"
HBE,Car,AM,5,2,0.006,"Children (0 to 15),in 1 adult household with one or more cars"
HBE,Car,AM,5,3,0.002,"Children (0 to 15), in 2 adult household with no car"
HBE,Car,AM,5,4,0.005,"Children (0 to 15), in 2 adult household with one car"
HBE,Car,AM,5,5,0.007,"Children (0 to 15), in 2 adult household with two or more cars"
HBE,Car,AM,5,6,0.002,"Children (0 to 15), in 3+ adult household with no car"
HBE,Car,AM,5,7,0.004,"Children (0 to 15), in 3+ adult household with one car"
HBE,Car,AM,5,8,0.006,"Children (0 to 15), in 3+ adult household with two or more cars"
HBE,Car,AM,5,9,0.030,"males in full time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,5,10,0.190,"males in full time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,5,11,0.028,"males in full time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,5,12,0.127,"males in full time employment (16 to 74), in 2 adult households with one car"
HBE,Car,AM,5,13,0.255,"males in full time employment (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,5,14,0.035,"males in full time employment (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,5,15,0.118,"males in full time employment (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,5,16,0.205,"males in full time employment (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,5,17,0.048,"males in part time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,5,18,0.186,"males in part time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,5,19,0.032,"males in part time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,5,20,0.133,"males in part time employment (16 to 74), in 2 adult households with one car"
HBE,Car,AM,5,21,0.222,"males in part time employment (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,5,22,0.036,"males in part time employment (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,5,23,0.115,"males in part time employment (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,5,24,0.176,"males in part time employment (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,5,25,0.005,"male students (16 to 74), in 1 adult households with no car"
HBE,Car,AM,5,26,0.020,"male students (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,5,27,0.005,"male students (16 to 74), in 2 adult households with no car"
HBE,Car,AM,5,28,0.016,"male students (16 to 74), in 2 adult households with one car"
HBE,Car,AM,5,29,0.022,"male students (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,5,30,0.005,"male students (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,5,31,0.013,"male students (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,5,32,0.018,"male students (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,5,33,0.004,"male not employed / students (16 to 74), in 1 adult households with no car"
HBE,Car,AM,5,34,0.015,"male not employed / students (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,5,35,0.004,"male not employed / students (16 to 74), in 2 adult households with no car"
HBE,Car,AM,5,36,0.011,"male not employed / students (16 to 74), in 2 adult households with one car"
HBE,Car,AM,5,37,0.020,"male not employed / students (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,5,38,0.005,"male not employed / students (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,5,39,0.016,"male not employed / students (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,5,40,0.022,"male not employed / students (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,5,41,0.000,"male 75+, in 1 adult households with no car"
HBE,Car,AM,5,42,0.006,"male 75+, in 1 adult households with one car"
HBE,Car,AM,5,43,0.000,"male 75+, in 2 adult households with no car"
HBE,Car,AM,5,44,0.004,"male 75+, in 2 adult households with one car"
HBE,Car,AM,5,45,0.013,"male 75+, in 2 adult households with two plus cars"
HBE,Car,AM,5,46,0.000,"male 75+, in 3+ adult households with no car"
HBE,Car,AM,5,47,0.010,"male 75+, in 3+ adult households with one car"
HBE,Car,AM,5,48,0.016,"male 75+, in 3+ adult households with two plus cars"
HBE,Car,AM,5,49,0.023,"females in full time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,5,50,0.158,"females in full time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,5,51,0.021,"females in full time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,5,52,0.091,"females in full time employment (16 to 74), in 2 adult households with one car"
HBE,Car,AM,5,53,0.183,"females in full time employment (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,5,54,0.027,"females in full time employment (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,5,55,0.077,"females in full time employment (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,5,56,0.110,"females in full time employment (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,5,57,0.029,"females in part time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,5,58,0.130,"females in part time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,5,59,0.021,"females in part time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,5,60,0.096,"females in part time employment (16 to 74), in 2 adult households with one car"
HBE,Car,AM,5,61,0.128,"females in part time employment (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,5,62,0.026,"females in part time employment (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,5,63,0.094,"females in part time employment (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,5,64,0.135,"females in part time employment (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,5,65,0.006,"female students (16 to 74), in 1 adult households with no car"
HBE,Car,AM,5,66,0.029,"female students (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,5,67,0.006,"female students (16 to 74), in 2 adult households with no car"
HBE,Car,AM,5,68,0.019,"female students (16 to 74), in 2 adult households with one car"
HBE,Car,AM,5,69,0.032,"female students (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,5,70,0.005,"female students (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,5,71,0.015,"female students (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,5,72,0.021,"female students (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,5,73,0.001,"female not employed / students (16 to 74), in 1 adult households with no car"
HBE,Car,AM,5,74,0.008,"female not employed / students (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,5,75,0.002,"female not employed / students (16 to 74), in 2 adult households with no car"
HBE,Car,AM,5,76,0.007,"female not employed / students (16 to 74), in 2 adult households with one car"
HBE,Car,AM,5,77,0.011,"female not employed / students (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,5,78,0.003,"female not employed / students (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,5,79,0.008,"female not employed / students (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,5,80,0.011,"female not employed / students (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,5,81,0.000,"female 75+, in 1 adult households with no car"
HBE,Car,AM,5,82,0.003,"female 75+, in 1 adult households with one or more cars"
HBE,Car,AM,5,83,0.000,"female 75+, in 2 adult households with no car"
HBE,Car,AM,5,84,0.002,"female 75+, in 2 adult households with one car"
HBE,Car,AM,5,85,0.006,"female 75+, in 2 adult households with two plus cars"
HBE,Car,AM,5,86,0.000,"female 75+, in 3+ adult households with no car"
HBE,Car,AM,5,87,0.005,"female 75+, in 3+ adult households with one car"
HBE,Car,AM,5,88,0.008,"female 75+, in 3+ adult households with two plus cars"
HBE,Car,AM,6,1,0.002,"Children (0 to 15), in 1 adult household with no car"
HBE,Car,AM,6,2,0.006,"Children (0 to 15),in 1 adult household with one or more cars"
HBE,Car,AM,6,3,0.002,"Children (0 to 15), in 2 adult household with no car"
HBE,Car,AM,6,4,0.006,"Children (0 to 15), in 2 adult household with one car"
HBE,Car,AM,6,5,0.007,"Children (0 to 15), in 2 adult household with two or more cars"
HBE,Car,AM,6,6,0.002,"Children (0 to 15), in 3+ adult household with no car"
HBE,Car,AM,6,7,0.005,"Children (0 to 15), in 3+ adult household with one car"
HBE,Car,AM,6,8,0.008,"Children (0 to 15), in 3+ adult household with two or more cars"
HBE,Car,AM,6,9,0.032,"males in full time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,6,10,0.181,"males in full time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,6,11,0.029,"males in full time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,6,12,0.136,"males in full time employment (16 to 74), in 2 adult households with one car"
HBE,Car,AM,6,13,0.261,"males in full time employment (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,6,14,0.037,"males in full time employment (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,6,15,0.106,"males in full time employment (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,6,16,0.241,"males in full time employment (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,6,17,0.045,"males in part time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,6,18,0.168,"males in part time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,6,19,0.030,"males in part time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,6,20,0.148,"males in part time employment (16 to 74), in 2 adult households with one car"
HBE,Car,AM,6,21,0.214,"males in part time employment (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,6,22,0.035,"males in part time employment (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,6,23,0.111,"males in part time employment (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,6,24,0.200,"males in part time employment (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,6,25,0.005,"male students (16 to 74), in 1 adult households with no car"
HBE,Car,AM,6,26,0.018,"male students (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,6,27,0.005,"male students (16 to 74), in 2 adult households with no car"
HBE,Car,AM,6,28,0.018,"male students (16 to 74), in 2 adult households with one car"
HBE,Car,AM,6,29,0.021,"male students (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,6,30,0.005,"male students (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,6,31,0.013,"male students (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,6,32,0.021,"male students (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,6,33,0.004,"male not employed / students (16 to 74), in 1 adult households with no car"
HBE,Car,AM,6,34,0.014,"male not employed / students (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,6,35,0.004,"male not employed / students (16 to 74), in 2 adult households with no car"
HBE,Car,AM,6,36,0.013,"male not employed / students (16 to 74), in 2 adult households with one car"
HBE,Car,AM,6,37,0.021,"male not employed / students (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,6,38,0.006,"male not employed / students (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,6,39,0.016,"male not employed / students (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,6,40,0.028,"male not employed / students (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,6,41,0.000,"male 75+, in 1 adult households with no car"
HBE,Car,AM,6,42,0.006,"male 75+, in 1 adult households with one car"
HBE,Car,AM,6,43,0.000,"male 75+, in 2 adult households with no car"
HBE,Car,AM,6,44,0.004,"male 75+, in 2 adult households with one car"
HBE,Car,AM,6,45,0.012,"male 75+, in 2 adult households with two plus cars"
HBE,Car,AM,6,46,0.000,"male 75+, in 3+ adult households with no car"
HBE,Car,AM,6,47,0.010,"male 75+, in 3+ adult households with one car"
HBE,Car,AM,6,48,0.018,"male 75+, in 3+ adult households with two plus cars"
HBE,Car,AM,6,49,0.024,"females in full time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,6,50,0.137,"females in full time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,6,51,0.022,"females in full time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,6,52,0.102,"females in full time employment (16 to 74), in 2 adult households with one car"
HBE,Car,AM,6,53,0.180,"females in full time employment (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,6,54,0.028,"females in full time employment (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,6,55,0.079,"females in full time employment (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,6,56,0.167,"females in full time employment (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,6,57,0.028,"females in part time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,6,58,0.118,"females in part time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,6,59,0.020,"females in part time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,6,60,0.109,"females in part time employment (16 to 74), in 2 adult households with one car"
