purpose,mode,period,area,work_type,traveller_type,trip_rate,tt_desc
HBE,Car,AM,3,WAH,21,0.187447114,"males in part time employment (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,3,WAH,22,0.028193265,"males in part time employment (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,3,WAH,23,0.11048712,"males in part time employment (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,3,WAH,24,0.150110087,"males in part time employment (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,3,ALL,25,0.005,"male students (16 to 74), in 1 adult households with no car"
HBE,Car,AM,3,ALL,26,0.021,"male students (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,3,ALL,27,0.006,"male students (16 to 74), in 2 adult households with no car"
HBE,Car,AM,3,ALL,28,0.019,"male students (16 to 74), in 2 adult households with one car"
HBE,Car,AM,3,ALL,29,0.026,"male students (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,3,ALL,30,0.005,"male students (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,3,ALL,31,0.016,"male students (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,3,ALL,32,0.02,"male students (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,3,ALL,33,0.004,"male not employed / students (16 to 74), in 1 adult households with no car"
HBE,Car,AM,3,ALL,34,0.014,"male not employed / students (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,3,ALL,35,0.004,"male not employed / students (16 to 74), in 2 adult households with no car"
HBE,Car,AM,3,ALL,36,0.013,"male not employed / students (16 to 74), in 2 adult households with one car"
HBE,Car,AM,3,ALL,37,0.021,"male not employed / students (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,3,ALL,38,0.005,"male not employed / students (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,3,ALL,39,0.016,"male not employed / students (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,3,ALL,40,0.022,"male not employed / students (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,3,ALL,41,0,"male 75+, in 1 adult households with no car"
HBE,Car,AM,3,ALL,42,0.006,"male 75+, in 1 adult households with one car"
HBE,Car,AM,3,ALL,43,0,"male 75+, in 2 adult households with no car"
HBE,Car,AM,3,ALL,44,0.005,"male 75+, in 2 adult households with one car"
HBE,Car,AM,3,ALL,45,0.014,"male 75+, in 2 adult households with two plus cars"
HBE,Car,AM,3,ALL,46,0,"male 75+, in 3+ adult households with no car"
HBE,Car,AM,3,ALL,47,0.012,"male 75+, in 3+ adult households with one car"
HBE,Car,AM,3,ALL,48,0.017,"male 75+, in 3+ adult households with two plus cars"
HBE,Car,AM,3,WAH,49,0.016763563,"females in full time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,3,WAH,50,0.103629299,"females in full time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,3,WAH,51,0.016001583,"females in full time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,3,WAH,52,0.074674054,"females in full time employment (16 to 74), in 2 adult households with one car"
HBE,Car,AM,3,WAH,53,0.139442365,"females in full time employment (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,3,WAH,54,0.019811484,"females in full time employment (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,3,WAH,55,0.070102173,"females in full time employment (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,3,WAH,56,0.11277306,"females in full time employment (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,3,WAH,57,0.022859404,"females in part time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,3,WAH,58,0.099819398,"females in part time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,3,WAH,59,0.016001583,"females in part time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,3,WAH,60,0.087627716,"females in part time employment (16 to 74), in 2 adult households with one car"
HBE,Car,AM,3,WAH,61,0.131822564,"females in part time employment (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,3,WAH,62,0.019811484,"females in part time employment (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,3,WAH,63,0.089913656,"females in part time employment (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,3,WAH,64,0.121916822,"females in part time employment (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,3,ALL,65,0.006,"female students (16 to 74), in 1 adult households with no car"
HBE,Car,AM,3,ALL,66,0.03,"female students (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,3,ALL,67,0.006,"female students (16 to 74), in 2 adult households with no car"
HBE,Car,AM,3,ALL,68,0.024,"female students (16 to 74), in 2 adult households with one car"
HBE,Car,AM,3,ALL,69,0.037,"female students (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,3,ALL,70,0.005,"female students (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,3,ALL,71,0.018,"female students (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,3,ALL,72,0.023,"female students (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,3,ALL,73,0.001,"female not employed / students (16 to 74), in 1 adult households with no car"
HBE,Car,AM,3,ALL,74,0.007,"female not employed / students (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,3,ALL,75,0.002,"female not employed / students (16 to 74), in 2 adult households with no car"
HBE,Car,AM,3,ALL,76,0.007,"female not employed / students (16 to 74), in 2 adult households with one car"
HBE,Car,AM,3,ALL,77,0.011,"female not employed / students (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,3,ALL,78,0.002,"female not employed / students (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,3,ALL,79,0.008,"female not employed / students (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,3,ALL,80,0.011,"female not employed / students (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,3,ALL,81,0,"female 75+, in 1 adult households with no car"
HBE,Car,AM,3,ALL,82,0.003,"female 75+, in 1 adult households with one or more cars"
HBE,Car,AM,3,ALL,83,0,"female 75+, in 2 adult households with no car"
HBE,Car,AM,3,ALL,84,0.003,"female 75+, in 2 adult households with one car"
HBE,Car,AM,3,ALL,85,0.007,"female 75+, in 2 adult households with two plus cars"
HBE,Car,AM,3,ALL,86,0,"female 75+, in 3+ adult households with no car"
HBE,Car,AM,3,ALL,87,0.006,"female 75+, in 3+ adult households with one car"
HBE,Car,AM,3,ALL,88,0.008,"female 75+, in 3+ adult households with two plus cars"
HBE,Car,AM,3,WBC,9,0.031268048,"males in full time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,3,WBC,10,0.191921125,"males in full time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,3,WBC,11,0.029111631,"males in full time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,3,WBC,12,0.158496659,"males in full time employment (16 to 74), in 2 adult households with one car"
HBE,Car,AM,3,WBC,13,0.298663773,"males in full time employment (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,3,WBC,14,0.036659091,"males in full time employment (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,3,WBC,15,0.130463237,"males in full time employment (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,3,WBC,16,0.229658425,"males in full time employment (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,3,WBC,17,0.051754011,"males in part time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,3,WBC,18,0.200546793,"males in part time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,3,WBC,19,0.035580883,"males in part time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,3,WBC,20,0.171435162,"males in part time employment (16 to 74), in 2 adult households with one car"
HBE,Car,AM,3,WBC,21,0.265239307,"males in part time employment (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,3,WBC,22,0.039893717,"males in part time employment (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,3,WBC,23,0.156340242,"males in part time employment (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,3,WBC,24,0.212407088,"males in part time employment (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,3,WBC,49,0.023720588,"females in full time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,3,WBC,50,0.146636365,"females in full time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,3,WBC,51,0.02264238,"females in full time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,3,WBC,52,0.10566444,"females in full time employment (16 to 74), in 2 adult households with one car"
HBE,Car,AM,3,WBC,53,0.197312168,"females in full time employment (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,3,WBC,54,0.028033423,"females in full time employment (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,3,WBC,55,0.099195188,"females in full time employment (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,3,WBC,56,0.159574868,"females in full time employment (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,3,WBC,57,0.032346257,"females in part time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,3,WBC,58,0.141245322,"females in part time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,3,WBC,59,0.02264238,"females in part time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,3,WBC,60,0.123993985,"females in part time employment (16 to 74), in 2 adult households with one car"
HBE,Car,AM,3,WBC,61,0.186530082,"females in part time employment (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,3,WBC,62,0.028033423,"females in part time employment (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,3,WBC,63,0.127228611,"females in part time employment (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,3,WBC,64,0.172513371,"females in part time employment (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,4,ALL,1,0.001,"Children (0 to 15), in 1 adult household with no car"
HBE,Car,AM,4,ALL,2,0.003,"Children (0 to 15),in 1 adult household with one or more cars"
HBE,Car,AM,4,ALL,3,0.001,"Children (0 to 15), in 2 adult household with no car"
HBE,Car,AM,4,ALL,4,0.003,"Children (0 to 15), in 2 adult household with one car"
HBE,Car,AM,4,ALL,5,0.003,"Children (0 to 15), in 2 adult household with two or more cars"
HBE,Car,AM,4,ALL,6,0.001,"Children (0 to 15), in 3+ adult household with no car"
HBE,Car,AM,4,ALL,7,0.002,"Children (0 to 15), in 3+ adult household with one car"
HBE,Car,AM,4,ALL,8,0.003,"Children (0 to 15), in 3+ adult household with two or more cars"
HBE,Car,AM,4,WAH,9,0.024383364,"males in full time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,4,WAH,10,0.150872067,"males in full time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,4,WAH,11,0.022097424,"males in full time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,4,WAH,12,0.105153259,"males in full time employment (16 to 74), in 2 adult households with one car"
HBE,Car,AM,4,WAH,13,0.181351273,"males in full time employment (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,4,WAH,14,0.028193265,"males in full time employment (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,4,WAH,15,0.073150093,"males in full time employment (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,4,WAH,16,0.160777809,"males in full time employment (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,4,WAH,17,0.036575047,"males in part time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,4,WAH,18,0.147062167,"males in part time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,4,WAH,19,0.025145345,"males in part time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,4,WAH,20,0.10972514,"males in part time employment (16 to 74), in 2 adult households with one car"
HBE,Car,AM,4,WAH,21,0.157729889,"males in part time employment (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,4,WAH,22,0.028193265,"males in part time employment (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,4,WAH,23,0.079245934,"males in part time employment (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,4,WAH,24,0.134108504,"males in part time employment (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,4,ALL,25,0.005,"male students (16 to 74), in 1 adult households with no car"
HBE,Car,AM,4,ALL,26,0.021,"male students (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,4,ALL,27,0.006,"male students (16 to 74), in 2 adult households with no car"
HBE,Car,AM,4,ALL,28,0.017,"male students (16 to 74), in 2 adult households with one car"
HBE,Car,AM,4,ALL,29,0.021,"male students (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,4,ALL,30,0.005,"male students (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,4,ALL,31,0.012,"male students (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,4,ALL,32,0.018,"male students (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,4,ALL,33,0.004,"male not employed / students (16 to 74), in 1 adult households with no car"
HBE,Car,AM,4,ALL,34,0.015,"male not employed / students (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,4,ALL,35,0.004,"male not employed / students (16 to 74), in 2 adult households with no car"
HBE,Car,AM,4,ALL,36,0.012,"male not employed / students (16 to 74), in 2 adult households with one car"
HBE,Car,AM,4,ALL,37,0.018,"male not employed / students (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,4,ALL,38,0.005,"male not employed / students (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,4,ALL,39,0.014,"male not employed / students (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,4,ALL,40,0.022,"male not employed / students (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,4,ALL,41,0,"male 75+, in 1 adult households with no car"
HBE,Car,AM,4,ALL,42,0.006,"male 75+, in 1 adult households with one car"
HBE,Car,AM,4,ALL,43,0,"male 75+, in 2 adult households with no car"
HBE,Car,AM,4,ALL,44,0.004,"male 75+, in 2 adult households with one car"
HBE,Car,AM,4,ALL,45,0.012,"male 75+, in 2 adult households with two plus cars"
HBE,Car,AM,4,ALL,46,0,"male 75+, in 3+ adult households with no car"
HBE,Car,AM,4,ALL,47,0.009,"male 75+, in 3+ adult households with one car"
HBE,Car,AM,4,ALL,48,0.016,"male 75+, in 3+ adult households with two plus cars"
HBE,Car,AM,4,WAH,49,0.018287523,"females in full time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,4,WAH,50,0.114297021,"females in full time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,4,WAH,51,0.016763563,"females in full time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,4,WAH,52,0.070864153,"females in full time employment (16 to 74), in 2 adult households with one car"
HBE,Car,AM,4,WAH,53,0.133346524,"females in full time employment (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,4,WAH,54,0.021335444,"females in full time employment (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,4,WAH,55,0.05486257,"females in full time employment (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,4,WAH,56,0.10820118,"females in full time employment (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,4,WAH,57,0.022859404,"females in part time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,4,WAH,58,0.104391279,"females in part time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,4,WAH,59,0.016763563,"females in part time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,4,WAH,60,0.080007914,"females in part time employment (16 to 74), in 2 adult households with one car"
HBE,Car,AM,4,WAH,61,0.11201108,"females in part time employment (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,4,WAH,62,0.020573464,"females in part time employment (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,4,WAH,63,0.065530292,"females in part time employment (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,4,WAH,64,0.11201108,"females in part time employment (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,4,ALL,65,0.006,"female students (16 to 74), in 1 adult households with no car"
HBE,Car,AM,4,ALL,66,0.029,"female students (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,4,ALL,67,0.006,"female students (16 to 74), in 2 adult households with no car"
HBE,Car,AM,4,ALL,68,0.02,"female students (16 to 74), in 2 adult households with one car"
HBE,Car,AM,4,ALL,69,0.029,"female students (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,4,ALL,70,0.005,"female students (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,4,ALL,71,0.013,"female students (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,4,ALL,72,0.021,"female students (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,4,ALL,73,0.001,"female not employed / students (16 to 74), in 1 adult households with no car"
HBE,Car,AM,4,ALL,74,0.008,"female not employed / students (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,4,ALL,75,0.002,"female not employed / students (16 to 74), in 2 adult households with no car"
HBE,Car,AM,4,ALL,76,0.007,"female not employed / students (16 to 74), in 2 adult households with one car"
HBE,Car,AM,4,ALL,77,0.01,"female not employed / students (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,4,ALL,78,0.003,"female not employed / students (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,4,ALL,79,0.007,"female not employed / students (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,4,ALL,80,0.011,"female not employed / students (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,4,ALL,81,0,"female 75+, in 1 adult households with no car"
HBE,Car,AM,4,ALL,82,0.004,"female 75+, in 1 adult households with one or more cars"
HBE,Car,AM,4,ALL,83,0,"female 75+, in 2 adult households with no car"
HBE,Car,AM,4,ALL,84,0.002,"female 75+, in 2 adult households with one car"
HBE,Car,AM,4,ALL,85,0.006,"female 75+, in 2 adult households with two plus cars"
HBE,Car,AM,4,ALL,86,0,"female 75+, in 3+ adult households with no car"
HBE,Car,AM,4,ALL,87,0.004,"female 75+, in 3+ adult households with one car"
HBE,Car,AM,4,ALL,88,0.008,"female 75+, in 3+ adult households with two plus cars"
HBE,Car,AM,4,WBC,9,0.034502674,"males in full time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,4,WBC,10,0.213485296,"males in full time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,4,WBC,11,0.031268048,"males in full time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,4,WBC,12,0.148792782,"males in full time employment (16 to 74), in 2 adult households with one car"
HBE,Car,AM,4,WBC,13,0.256613639,"males in full time employment (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,4,WBC,14,0.039893717,"males in full time employment (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,4,WBC,15,0.103508022,"males in full time employment (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,4,WBC,16,0.227502008,"males in full time employment (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,4,WBC,17,0.051754011,"males in part time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,4,WBC,18,0.208094253,"males in part time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,4,WBC,19,0.035580883,"males in part time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,4,WBC,20,0.155262034,"males in part time employment (16 to 74), in 2 adult households with one car"
HBE,Car,AM,4,WBC,21,0.223189173,"males in part time employment (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,4,WBC,22,0.039893717,"males in part time employment (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,4,WBC,23,0.112133691,"males in part time employment (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,4,WBC,24,0.189764708,"males in part time employment (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,4,WBC,49,0.025877006,"females in full time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,4,WBC,50,0.161731285,"females in full time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,4,WBC,51,0.023720588,"females in full time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,4,WBC,52,0.100273397,"females in full time employment (16 to 74), in 2 adult households with one car"
HBE,Car,AM,4,WBC,53,0.188686499,"females in full time employment (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,4,WBC,54,0.03018984,"females in full time employment (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,4,WBC,55,0.077631017,"females in full time employment (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,4,WBC,56,0.153105616,"females in full time employment (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,4,WBC,57,0.032346257,"females in part time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,4,WBC,58,0.147714574,"females in part time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,4,WBC,59,0.023720588,"females in part time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,4,WBC,60,0.113211899,"females in part time employment (16 to 74), in 2 adult households with one car"
HBE,Car,AM,4,WBC,61,0.158496659,"females in part time employment (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,4,WBC,62,0.029111631,"females in part time employment (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,4,WBC,63,0.092725937,"females in part time employment (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,4,WBC,64,0.158496659,"females in part time employment (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,5,ALL,1,0.002,"Children (0 to 15), in 1 adult household with no car"
HBE,Car,AM,5,ALL,2,0.006,"Children (0 to 15),in 1 adult household with one or more cars"
HBE,Car,AM,5,ALL,3,0.002,"Children (0 to 15), in 2 adult household with no car"
HBE,Car,AM,5,ALL,4,0.005,"Children (0 to 15), in 2 adult household with one car"
HBE,Car,AM,5,ALL,5,0.007,"Children (0 to 15), in 2 adult household with two or more cars"
HBE,Car,AM,5,ALL,6,0.002,"Children (0 to 15), in 3+ adult household with no car"
HBE,Car,AM,5,ALL,7,0.004,"Children (0 to 15), in 3+ adult household with one car"
HBE,Car,AM,5,ALL,8,0.006,"Children (0 to 15), in 3+ adult household with two or more cars"
HBE,Car,AM,5,WAH,9,0.022859404,"males in full time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,5,WAH,10,0.144776226,"males in full time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,5,WAH,11,0.021335444,"males in full time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,5,WAH,12,0.096771477,"males in full time employment (16 to 74), in 2 adult households with one car"
HBE,Car,AM,5,WAH,13,0.194304935,"males in full time employment (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,5,WAH,14,0.026669305,"males in full time employment (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,5,WAH,15,0.089913656,"males in full time employment (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,5,WAH,16,0.156205928,"males in full time employment (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,5,WAH,17,0.036575047,"males in part time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,5,WAH,18,0.141728306,"males in part time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,5,WAH,19,0.024383364,"males in part time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,5,WAH,20,0.101343358,"males in part time employment (16 to 74), in 2 adult households with one car"
HBE,Car,AM,5,WAH,21,0.169159591,"males in part time employment (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,5,WAH,22,0.027431285,"males in part time employment (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,5,WAH,23,0.087627716,"males in part time employment (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,5,WAH,24,0.134108504,"males in part time employment (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,5,ALL,25,0.005,"male students (16 to 74), in 1 adult households with no car"
HBE,Car,AM,5,ALL,26,0.02,"male students (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,5,ALL,27,0.005,"male students (16 to 74), in 2 adult households with no car"
HBE,Car,AM,5,ALL,28,0.016,"male students (16 to 74), in 2 adult households with one car"
HBE,Car,AM,5,ALL,29,0.022,"male students (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,5,ALL,30,0.005,"male students (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,5,ALL,31,0.013,"male students (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,5,ALL,32,0.018,"male students (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,5,ALL,33,0.004,"male not employed / students (16 to 74), in 1 adult households with no car"
HBE,Car,AM,5,ALL,34,0.015,"male not employed / students (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,5,ALL,35,0.004,"male not employed / students (16 to 74), in 2 adult households with no car"
HBE,Car,AM,5,ALL,36,0.011,"male not employed / students (16 to 74), in 2 adult households with one car"
HBE,Car,AM,5,ALL,37,0.02,"male not employed / students (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,5,ALL,38,0.005,"male not employed / students (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,5,ALL,39,0.016,"male not employed / students (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,5,ALL,40,0.022,"male not employed / students (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,5,ALL,41,0,"male 75+, in 1 adult households with no car"
HBE,Car,AM,5,ALL,42,0.006,"male 75+, in 1 adult households with one car"
HBE,Car,AM,5,ALL,43,0,"male 75+, in 2 adult households with no car"
HBE,Car,AM,5,ALL,44,0.004,"male 75+, in 2 adult households with one car"
HBE,Car,AM,5,ALL,45,0.013,"male 75+, in 2 adult households with two plus cars"
HBE,Car,AM,5,ALL,46,0,"male 75+, in 3+ adult households with no car"
HBE,Car,AM,5,ALL,47,0.01,"male 75+, in 3+ adult households with one car"
HBE,Car,AM,5,ALL,48,0.016,"male 75+, in 3+ adult households with two plus cars"
